2026-05-04T23:49:11;INFO;Serveur démarré sur le port 8888
2026-05-04T23:49:33;INFO;Client 1 connecté
2026-05-04T23:49:41;RECV;Client 1: DEMANDE_OUTIL 2

2026-05-04T23:49:41;SEND;Client 1: OK

2026-05-04T23:49:43;RECV;Client 1: LIBERATION_OUTIL 2

2026-05-04T23:49:43;SEND;Client 1: LIBERE_OK

2026-05-04T23:49:47;RECV;Client 1: DEMANDE_DEUX_OUTILS 0 1

2026-05-04T23:49:47;SEND;Client 1: OK

2026-05-04T23:49:50;RECV;Client 1: LIBERATION_OUTIL 0

2026-05-04T23:49:50;SEND;Client 1: LIBERE_OK

2026-05-04T23:49:50;RECV;Client 1: LIBERATION_OUTIL 1

2026-05-04T23:49:50;SEND;Client 1: LIBERE_OK

2026-05-04T23:49:54;RECV;Client 1: DEMANDE_OUTIL 2

2026-05-04T23:49:54;SEND;Client 1: OK

2026-05-04T23:49:56;RECV;Client 1: LIBERATION_OUTIL 2

2026-05-04T23:49:56;SEND;Client 1: LIBERE_OK

2026-05-04T23:50:00;RECV;Client 1: DEMANDE_DEUX_OUTILS 0 1

2026-05-04T23:50:00;SEND;Client 1: OK

2026-05-04T23:50:03;RECV;Client 1: LIBERATION_OUTIL 0

2026-05-04T23:50:03;SEND;Client 1: LIBERE_OK

2026-05-04T23:50:03;RECV;Client 1: LIBERATION_OUTIL 1

2026-05-04T23:50:03;SEND;Client 1: LIBERE_OK

2026-05-04T23:50:05;RECV;Client 1: DEMANDE_OUTIL 1

2026-05-04T23:50:05;SEND;Client 1: OK

2026-05-04T23:50:07;RECV;Client 1: LIBERATION_OUTIL 1

2026-05-04T23:50:07;SEND;Client 1: LIBERE_OK

2026-05-04T23:50:09;RECV;Client 1: DEMANDE_OUTIL 1

2026-05-04T23:50:09;SEND;Client 1: OK

2026-05-04T23:50:11;RECV;Client 1: LIBERATION_OUTIL 1

2026-05-04T23:50:11;SEND;Client 1: LIBERE_OK

2026-05-04T23:50:16;INFO;Client 1 déconnecté
2026-05-05T00:04:56;INFO;Serveur demarre sur le port 8888
2026-05-05T00:05:13;INFO;Client 1 connecte
2026-05-05T00:05:20;RECV;Client 1 : DEMANDE_OUTIL 2

2026-05-05T00:05:20;ALLOC;Client 1 a obtenu l'outil 2
2026-05-05T00:05:20;SEND;Client 1 : OK

2026-05-05T00:05:22;RECV;Client 1 : LIBERATION_OUTIL 2

2026-05-05T00:05:22;LIBERE;Client 1 a libere l'outil 2
2026-05-05T00:05:22;SEND;Client 1 : LIBERE_OK

2026-05-05T00:05:28;RECV;Client 1 : DEMANDE_OUTIL 1

2026-05-05T00:05:28;ALLOC;Client 1 a obtenu l'outil 1
2026-05-05T00:05:28;SEND;Client 1 : OK

2026-05-05T00:05:30;RECV;Client 1 : LIBERATION_OUTIL 1

2026-05-05T00:05:30;LIBERE;Client 1 a libere l'outil 1
2026-05-05T00:05:30;SEND;Client 1 : LIBERE_OK

2026-05-05T00:05:31;RECV;Client 1 : DEMANDE_DEUX_OUTILS 0 2

2026-05-05T00:05:31;ALLOC;Client 1 a obtenu l'outil 0
2026-05-05T00:05:31;ALLOC;Client 1 a obtenu l'outil 2
2026-05-05T00:05:31;ALLOC;Client 1 a obtenu les deux outils 0 et 2
2026-05-05T00:05:31;SEND;Client 1 : OK

2026-05-05T00:05:34;RECV;Client 1 : LIBERATION_OUTIL 0

2026-05-05T00:05:34;LIBERE;Client 1 a libere l'outil 0
2026-05-05T00:05:34;SEND;Client 1 : LIBERE_OK

2026-05-05T00:05:34;RECV;Client 1 : LIBERATION_OUTIL 2

2026-05-05T00:05:34;LIBERE;Client 1 a libere l'outil 2
2026-05-05T00:05:34;SEND;Client 1 : LIBERE_OK

2026-05-05T00:05:41;RECV;Client 1 : DEMANDE_DEUX_OUTILS 0 2

2026-05-05T00:05:41;ALLOC;Client 1 a obtenu l'outil 0
2026-05-05T00:05:41;ALLOC;Client 1 a obtenu l'outil 2
2026-05-05T00:05:41;ALLOC;Client 1 a obtenu les deux outils 0 et 2
2026-05-05T00:05:41;SEND;Client 1 : OK

2026-05-05T00:05:44;RECV;Client 1 : LIBERATION_OUTIL 0

2026-05-05T00:05:44;LIBERE;Client 1 a libere l'outil 0
2026-05-05T00:05:44;SEND;Client 1 : LIBERE_OK

2026-05-05T00:05:44;RECV;Client 1 : LIBERATION_OUTIL 2

2026-05-05T00:05:44;LIBERE;Client 1 a libere l'outil 2
2026-05-05T00:05:44;SEND;Client 1 : LIBERE_OK

